Domaine,Feature,Composant,Description courte,État,Priorité,Scope,Complexité,Notes
DDL / Management,Routines & Procédures,Fullstack,Interface dédiée pour lister créer et éditer les fonctions et procédures stockées.,Terminé,P1,V2,4,Support multi-driver avec context menu.
DDL / Management,Triggers & Événements,Fullstack,Vue liste et édition des déclencheurs et des tâches planifiées (Events) en base.,Terminé,P1,V2,4,Support multi-driver avec context menu.
DDL / Management,Opérations de Maintenance,Fullstack,Optimisation des tables (VACUUM ANALYZE OPTIMIZE REPAIR) par driver.,Terminé,P1,V2,4,Dialog dédié avec feedback.
Data Tools,Snapshots de Résultats,Fullstack,Sauvegarde persistante d'un état précis d'un résultat de requête pour comparaison ultérieure.,Terminé,P1,V2,3,Métadonnées et restauration.
Data Tools,Virtual Relations Engine,Fullstack,Définition de relations FK virtuelles dans QoreDB pour tables/collections mal conçues.,Terminé,P1,V2,4,Panel dédié et dialog de création.
Data Tools,Export Self-contained HTML,Fullstack,Génération d'un fichier HTML unique avec données embarquées et interface de tri/filtrage.,Terminé,P2,V2,3,CSS/JS embarqués pour partage rapide.
Data Engine Kernel,Connection Resilience,Backend / Core,Reconnexion automatique et monitoring proactif de la santé des connexions.,Terminé,P1,V2,4,Recovery tunnels SSH inclus.
Data Engine Kernel,Smart Keep-Alive,Backend / Core,Détection proactive des timeouts et maintien des connexions actives.,Terminé,P1,V2,3,Health checks périodiques.
Data Grid,Blob/Binary Viewer,Frontend / Grid,Visualisation des cellules binaires (hex - base64 - image preview - SVG source) avec téléchargement et copie data URI.,Terminé,P2,V2,3,Support PNG JPEG GIF SVG BMP ICO. Raccourci Space/Enter sur cellule binaire.
Data Grid,Bulk Edit with Preview,Frontend / Grid,Édition en masse multi-lignes avec preview SQL avant application. Seuil Core 5 lignes Pro au-delà.,Terminé,P1,V2,4,Compatible Sandbox. Génère un SandboxChangeDto par ligne.
DDL / Management,DDL Management UI - Create Table,Frontend / Schema,Formulaire visuel CREATE TABLE avec colonnes types contraintes FK indexes checks comments preview live.,Terminé,P1,V2,5,Support PG MySQL MariaDB SQLite DuckDB SQL Server CockroachDB.
DDL / Management,DDL Management UI - Alter Table,Frontend / Schema,Formulaire visuel ALTER TABLE avec diff de schéma génération SQL warnings driver-specific.,Terminé,P1,V2,5,Limitations SQLite < 3.35 explicitement avertis.
UX / Interface,Tab Groups by Connection,Frontend / Tabs,Regroupement des onglets par connexion avec headers pliables et tab count badges.,Terminé,P2,V2,3,Toggle dans Settings. Drag intra-groupe uniquement.
Data Quality,Data Contracts,Fullstack / Contracts,Assertions de qualité de données déclaratives (YAML) exécutées en SQL avec dashboard de santé et cellule notebook dédiée.,Terminé,P1,V0.1.28,5,Pro / BUSL-1.1. 12 types de règles couvrant présence format domaine unicité référentielle cardinalité custom_sql.
Integration,Instant Data API,Fullstack / API,Expose des requêtes sauvegardées comme endpoints REST locaux read-only avec Bearer token Argon2 et OpenAPI 3.1 auto-généré.,Terminé,P1,V0.1.28,5,Pro / BUSL-1.1. Bind strict 127.0.0.1 rate limit 10 req/s par endpoint régénération de token.
UX / Interface,Customizable Keyboard Shortcuts,Frontend / Settings,Registry de raccourcis éditable avec recorder click-to-rebind détection de conflits et reset par scope.,Terminé,P2,V0.1.28,3,Core / Apache-2.0. Cross-OS Mod=Cmd mac / Ctrl ailleurs. Chords système refusés.
Data Tools,Backup / Restore Helpers,Fullstack / Backup,Wrappers UI autour de pg_dump mysqldump mongodump sqlite3 dump avec détection des binaires streaming et cancel.,Terminé,P1,V0.1.28,4,Core / Apache-2.0. Drivers supportés Postgres family MySQL/MariaDB Mongo SQLite. Double confirm pour restore.
Sécurité,Audit Log Fingerprinting,Backend / Interceptor,Empreinte SHA-256 du SQL normalisé pour regrouper les requêtes plus export JSONL/CSV depuis le disque.,Terminé,P1,V0.1.28,3,Core / Apache-2.0. Normalisation multi-dialecte (SQL/Mongo/Redis). Lecture pleine retention via export_audit_log(format from_disk).
Data Engine Kernel,Driver ClickHouse,Backend / Core,Driver natif ClickHouse HTTP/HTTPS avec 28 types AST safety classification et cancel via KILL QUERY.,Terminé,P1,V0.1.28,4,Core / Apache-2.0. Protocol HTTP 8123 / HTTPS 8443 Rustls. Pas de ON CLUSTER en v1.
Data Engine Kernel,Driver Elasticsearch,Backend / Core,Driver Elasticsearch REST/HTTP via reqwest avec console Dev Tools (METHOD /path + corps JSON) et mapping de réponse par forme.,Terminé,P1,V2,4,Core / Apache-2.0. Driver mutualisé search_compat. Auth none/basic/api_key/bearer + TLS + Cloud ID.
Data Engine Kernel,Driver OpenSearch,Backend / Core,Driver OpenSearch mutualisé avec Elasticsearch (search_compat) paramétré par flavor avec vérification version.distribution.,Terminé,P1,V2,2,Core / Apache-2.0. ~95% de code commun avec Elasticsearch via wrapper mince.
Performance,Query Result Caching,Fullstack / Cache,Cache LRU local des résultats de navigation (preview_table/query_table) avec TTL et invalidation par connexion sur mutation.,Terminé,P2,V0.1.29,3,Core / Apache-2.0. Cache transparent réglable dans Settings. Mutations hors QoreDB bornées par le TTL.
Sécurité,Query Rate Limiting,Backend / Governance,Garde-fou anti-boucle qui plafonne le débit de requêtes par session (60 req/10 s) pour stopper les boucles accidentelles.,Terminé,P2,V0.1.29,2,Core / Apache-2.0. Token bucket désactivable dans Settings. Inclut le passage de fs:scope à un allow-list positif.
Extensibilité,Plugin System Foundation,Fullstack / Plugins,Fondation de plugins déclaratifs (manifeste plugin.json registry et panneau Settings) avec contributions de snippets SQL templates de connexion et thèmes.,Terminé,P2,V0.1.29,4,Core / Apache-2.0. Déclaratif uniquement — aucune exécution de code. WASM hooks et sandboxing à venir.
SQL Editor,Suggestions d'index,Frontend / Query,Recommandations CREATE INDEX dérivées du plan EXPLAIN : chaque scan séquentiel coûteux filtrant sur des colonnes simples devient une suggestion d'index avec SQL prêt à copier.,Terminé,P1,V0.1.32,3,Pro / BUSL-1.1. Réutilise explainPlanParser (PG + MySQL/MariaDB). Prédicats fonctionnels ignorés. Gating isFeatureEnabled('index_suggestions').
Schéma & Migrations,Migrations Manager (runner),Fullstack,Migrations de schéma versionnées en fichiers .sql (sections up/down façon dbmate) dans .qoredb/migrations/ partagées via Git : créer éditer appliquer et annuler avec preflight par statement transaction et table d'historique qoredb_migrations dans la base cible.,Terminé,P1,V0.1.34,5,Core / Apache-2.0. Gardes d'état (pas de rejeu pas de rollback d'une migration non appliquée refus sur dérive de checksum). Splitter SQL fidèle préservant le texte original. DDL non transactionnel sur MySQL/MariaDB signalé.
Schéma & Migrations,Génération par schema-diff,Fullstack,Génération automatique d'une migration depuis le delta entre une baseline capturée et le schéma live : up et down produits par les builders DDL avec marquage des opérations irréversibles.,Terminé,P1,V0.1.34,4,Pro / BUSL-1.1. Gating isFeatureEnabled('schema_diff'). Refuse de générer sur capture incomplète ou changement inexprimable par le dialecte (SQLite). Colonnes PK index et FK comparés par valeur.
Schéma & Migrations,Détection de drift,Fullstack,Comparaison du schéma live à une baseline persistée sur disque (.qoredb/baselines/) pour repérer les modifications faites hors QoreDB.,Terminé,P1,V0.1.34,3,Pro / BUSL-1.1. Baseline git-ignorée (référence locale par connexion). Les tables non décrites sont exclues au lieu d'être signalées comme supprimées.
Schéma & Migrations,Diff de schéma Prod↔Staging,Fullstack,Comparaison structurelle du schéma de deux connexions en un clic depuis le menu contextuel d'une table : tables colonnes index FK et clé primaire.,Terminé,P1,V0.1.34,4,Pro / BUSL-1.1. Réutilise CompareTargets. Sessions indépendantes libérées au démontage. Appariement par schema.table (base-agnostique).
IA,Database Agent (chat agentique),Fullstack,"Fenêtre de chat dédiée : l'agent explore la base (schémas, tables), exécute des requêtes de lecture et répond avec les données réelles ; écritures sous confirmation humaine (bloquées en production), accès cross-connexion sous autorisation, conversations persistées sans résultats bruts.",Terminé,P1,V0.1.35,5,"Pro / BUSL-1.1. Outils partagés avec le serveur MCP, tool-calling sur 7 providers, orchestrateur avec permission gate (lecture auto, écriture confirmée en dev/staging, mutation bloquée en production), source=ai dans l'audit, requêtes fédérées cross-connexion, conversations persistées sans résultats bruts. Qore AI Local : runtime llama-server macOS/Windows/Linux à builds reproductibles, installation reprenable, vérification SHA-256 et mises à jour par manifest distant signé."
Data Engine Kernel,Driver Valkey,Backend / Core,"Support du fork open-source de Redis : même driver, identité et schémas d'URL propres (valkey:// / valkeys://).",Terminé,P2,V0.1.37,1,"Le driver Redis porte un flavor (RedisFlavor) ; aucune détection côté serveur, Valkey restant compatible fil-à-fil. Les chemins sensibles (classification de mutation, redaction, fingerprint, dialecte IA) reconnaissent les deux ids."
IA,Édition IA en ligne (Cmd+I),Frontend / Editor + Backend / AI,"Réécriture de la requête (ou de la sélection) à partir d'une instruction en langage naturel, proposée en diff ligne à ligne avant application.",Terminé,P1,V0.1.37,3,"Pro / BUSL-1.1. Réutilise useAiAssistant et l'extraction de requête existante ; diff de lignes maison (inlineEditDiff.ts, testé) car les composants Diff/ portent un diff de données. Raccourci déclaré dans le registre, donc personnalisable et listé dans la cheatsheet."
IA,Expliquer une table / résumer un schéma,Frontend / Tree + Backend / AI,"Explication d'une table ou résumé d'un schéma en langage naturel, depuis les menus contextuels de l'arbre.",Terminé,P2,V0.1.37,2,"Pro / BUSL-1.1. Branche enfin ai_summarize_schema, dont le binding TS existait sans aucun appelant ; un paramètre table optionnel restreint le résumé à une table."
IA,Query Replay Lab,Fullstack,"Enregistrement d'un jeu de requêtes puis rejeu sur une connexion cible ou après une migration : rapport des requêtes cassées, des écarts de nombre de lignes, des écarts de contenu et des dégradations de temps, avec ouverture du diff baseline ↔ rejeu. Mode A/B : le même jeu rejoué sur deux connexions vivantes et les deux côtés comparés l'un à l'autre. Un verdict « identique » n'est rendu que si un nombre de lignes ou une empreinte ont pu être comparés : sans référence exploitable, l'entrée est classée « résultat non comparé » et le rapport affiche sa couverture (comparés / non exécutés / en erreur). Après une migration volontaire, un rejeu peut être accepté comme nouvelle référence, requête par requête ou pour tout le jeu.",Terminé,P1,V0.1.38,5,"Pro / BUSL-1.1. Le jeu (.qoredb/replays/*.qreplay.json) est versionnable et ne contient aucune ligne de résultat, mais porte le texte des requêtes tel quel (littéraux compris, comme la query library) ; les lignes capturées vivent dans data_dir/replays/<project_id>/<run_id>/ au format Snapshot, bornées (1000 lignes/requête), sous budget d'octets et purgées par rétention. Digest SHA-256 après tri canonique et retrait des colonnes ignorées. QuerySource::Replay ajouté à l'intercepteur : audit, règles de sûreté et rate limiting s'appliquent. Mutations exclues du rejeu par défaut et refusées en production, classées depuis le preflight et jamais depuis le fichier versionné ; capture de valeurs en production désactivée par défaut ; enregistrement lié à sa connexion et captures isolées par workspace. Le streaming est désactivé pendant un enregistrement : un résultat streamé n'atteint pas le recorder et produirait une entrée sans nombre de lignes ni empreinte. Mutations exclues de l'enregistrement par défaut (elles restent retirables avant sauvegarde), et le témoin d'enregistrement de la barre d'état permet d'arrêter ou d'abandonner."
Data Engine Kernel,Driver PlanetScale,Backend / Core,"Support explicite de PlanetScale : MySQL serverless, identité propre et TLS forcé à la connexion.",Terminé,P2,V0.1.38,1,"Core / Apache-2.0. Wrapper mince sur MySqlDriver, sans détection côté serveur. TLS forcé dans connect/test_connection : PlanetScale rejette le texte clair. Les chemins qui dispatchent sur le driver_id (dialecte SQL, full-text, migrations, backup, time-travel) reconnaissent l'id. Pas de schéma d'URL propre : les URL mysql:// suffisent."
Data Engine Kernel,Driver Amazon DocumentDB,Backend / Core,"Support explicite d'Amazon DocumentDB : compatible MongoDB, identité propre et TLS forcé à la connexion.",Terminé,P2,V0.1.38,1,"Core / Apache-2.0. Wrapper mince sur MongoDriver. TLS forcé ; les clusters vivant en VPC privé passent en général par le tunnel SSH déjà offert par le formulaire. Les chemins non-SQL (classification de mutation, redaction, fingerprint, dialecte IA, fédération, backup) reconnaissent l'id."
Data Engine Kernel,Driver Dragonfly,Backend / Core,"Support explicite de Dragonfly : compatible fil-à-fil Redis, identité propre.",Terminé,P2,V0.1.38,1,"Core / Apache-2.0. Troisième variante de RedisFlavor après Redis et Valkey ; aucune détection côté serveur. Pas de schéma d'URL propre : Dragonfly s'annonce en redis://."
Data Engine Kernel,Driver TiDB,Backend / Core,"Support TiDB via le protocole et le catalogue MySQL, avec identité et port propres.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de MySqlDriver. Routines, triggers, événements et maintenance MySQL masqués selon les limites TiDB. Détection des endpoints tidbcloud.com."
Data Engine Kernel,Driver StarRocks,Backend / Core,"Support StarRocks via le protocole MySQL pour les requêtes et l'introspection.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de MySqlDriver. Transactions, mutations structurées et DDL visuel désactivés : le modèle OLAP de clés et de distribution diverge de MySQL."
Data Engine Kernel,Driver Apache Doris,Backend / Core,"Support Apache Doris via le protocole MySQL pour les requêtes et l'introspection.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de MySqlDriver. Transactions, mutations structurées et DDL visuel désactivés : le modèle OLAP diverge de MySQL."
Data Engine Kernel,Driver SingleStore,Backend / Core,"Support SingleStore via le protocole MySQL, avec identité et endpoints cloud détectés.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de MySqlDriver. Le réglage de fuseau horaire incompatible est omis ; le DDL visuel masque FK, CHECK et unicité."
Data Engine Kernel,Driver YugabyteDB,Backend / Core,"Support YugabyteDB via le protocole et le catalogue PostgreSQL.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de PostgresDriver, port 5433 et base yugabyte par défaut. Détection des endpoints yugabyte.cloud."
Data Engine Kernel,Driver KeyDB,Backend / Core,"Support KeyDB via le protocole RESP, avec identité propre.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de RedisDriver ; aucune détection côté serveur ni schéma d'URL propre."
Data Engine Kernel,Driver Garnet,Backend / Core,"Support Garnet via le protocole RESP, avec identité propre.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de RedisDriver ; aucune détection côté serveur ni schéma d'URL propre."
Data Engine Kernel,Driver Azure SQL,Backend / Core,"Support Azure SQL via le protocole SQL Server, avec identité propre et TLS forcé.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de SqlServerDriver. Détection des endpoints database.windows.net."
Data Engine Kernel,Driver Azure Synapse,Backend / Core,"Support Azure Synapse via le protocole TDS, avec identité propre et TLS forcé.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de SqlServerDriver. Mutations structurées, transactions, maintenance et DDL visuel désactivés pour rester compatibles avec les pools dédiés et serverless."
Data Engine Kernel,Driver Cassandra,Backend / Core,"Support Cassandra via un client CQL v4 écrit à la main : introspection system_schema, pagination par curseur natif, mutations à clé primaire complète.",Terminé,P2,V0.1.39,3,"Core / Apache-2.0. Aucune dépendance de driver tierce : trames, poignée de main, SASL PLAIN et codec de types écrits contre la spec. TLS via tokio-rustls, sans mode permissif. Ni transactions, ni routines, ni triggers, ni DDL visuel : CQL ne les a pas. ALLOW FILTERING et SELECT non borné refusés en production."
Data Engine Kernel,Driver ScyllaDB,Backend / Core,"Support ScyllaDB via le même client CQL que Cassandra, avec identité propre.",Terminé,P2,V0.1.39,1,"Core / Apache-2.0. Flavor de CassandraDriver ; le protocole est identique, seuls l'id et le nom affiché diffèrent."
Data Engine Kernel,Driver Snowflake,Backend / Core,"Support Snowflake via la SQL API v2 : auth par paire de clés (JWT RS256) ou jeton d'accès, warehouse et rôle par connexion, annulation réelle des requêtes.",Terminé,P2,V0.1.39,3,"Core / Apache-2.0. Client REST écrit sur reqwest, sans SDK éditeur ; la signature passe par jsonwebtoken. Chaque requête est soumise en asynchrone puis interrogée. Ni transactions, ni DDL visuel, ni routines. Résultats plafonnés à 200 000 lignes."
Data Engine Kernel,Driver BigQuery,Backend / Core,"Support BigQuery via l'API REST : compte de service échangé contre un jeton d'accès, datasets de tous les projets visibles, aperçus gratuits via tabledata.list, estimation automatique avant exécution dans l’éditeur avec confirmation, EXPLAIN disponible pour un dry run manuel.",Terminé,P2,V0.1.39,2,"Core / Apache-2.0. Bâti sur warehouse_compat (signature RS256 partagée avec Snowflake). Jobs interrogés par id, annulation réelle. Ni transactions, ni DDL visuel, ni routines. Résultats plafonnés à 200 000 lignes."
